978-2-7470-3320-6;Kidnappés dans l'espace;;Stine;R. L.;;;Bayard Jeunesse;2010;1 vol. (138 p.);18 x 13 cm;Jeunesse;41,0922367318531
978-2-7470-3446-3;Terrible internat;;Stine;R. L.;;;Bayard Jeunesse;2010;1 vol. (140 p.);18 x 13 cm;Jeunesse;5,45021248145366
978-2-7470-3452-4;film d'horreur (Le);;Stine;R. L.;;;Bayard Jeunesse;2010;1 vol. (138 p.);18 x 13 cm;Jeunesse;55,0474942239238
978-2-7470-3455-5;fantôme du miroir (Le);;Stine;R. L.;;;Bayard Jeunesse;2010;1 vol. (114 p.);18 x 13 cm;Jeunesse;62,9054772773582
978-2-7470-3686-3;maison des morts (La);;Stine;R. L.;;;Bayard Jeunesse;2011;1 vol. (136 p.);18 x 13 cm;Jeunesse;72,9234541829014
978-2-7470-3687-0;colère de la momie (La);;Stine;R. L.;;;Bayard Jeunesse;2011;1 vol. (140 p.);18 x 13 cm;Jeunesse;13,7413281762617
978-2-7470-3688-7;bête de la cave (La);;Stine;R. L.;;;Bayard Jeunesse;2011;1 vol. (137 p.);18 x 13 cm;Jeunesse;36,3410594069015
978-2-7470-3689-4;peau du loup-garou (La);;Stine;R. L.;;;Bayard Jeunesse;2011;1 vol. (139 p.);18 x 13 cm;Jeunesse;65,8780640277668
978-2-7470-3691-7;Cauchemars en série;;Stine;R. L.;;;Bayard Jeunesse;2011;1 vol. (140 p.);18 x 13 cm;Jeunesse;79,7690459177475
978-2-7470-3692-4;Mort de peur;;Stine;R. L.;;;Bayard Jeunesse;2011;1 vol. (141 p.);18 x 13 cm;Jeunesse;45,9441684072919
978-2-7470-3898-0;Jeux de monstres;;Stine;R. L.;;;Bayard Jeunesse;2011;1 vol. (142 p.);18 x 13 cm;Jeunesse;44,5639205823495
978-2-7470-3899-7;vacances de l'angoisse (Les);;Stine;R. L.;;;Bayard Jeunesse;2011;1 vol. (110 p.);18 x 13 cm;Jeunesse;17,7927644274668
978-2-7499-2403-8;Mirages;;Robillard;Anne;;;M. Lafon;DL 2015;1 vol. (315 p.);24 cm;Adulte;36,207445344124
978-2-8063-0074-4;Je crée avec 3 x rien !;;Bull;Jane;;;Langue au chat;cop. 2011;1 vol. (62 p.);29 cm;Jeunesse;30,7508820131181
978-2-8097-0137-1;Les nouvelles aventures de l'école des chats;tomes 1, 2, 3;Kim;Jin-Kyeong;;;P. Picquier;DL 2009;1 vol. (425 p.);17 cm;Jeunesse;46,6975424235668
978-2-8098-0563-5;L'eau des anges;roman;Egémar;Béatrice;;;Galapagos;impr. 2011;1 vol. (186 p.);21 cm;Jeunesse;61,2475787534116
978-2-8098-0564-2;Avant les ténèbres;;Cluzeau;Nicolas;;;Galapagos;impr. 2011;1 vol. (293 p.);21 cm;Jeunesse;25,2972812324238
978-2-8180-3693-8;Petite vie;roman;Varetz;Patrick;;;POL;DL 2015;1 vol. (179 p.);21 cm;Adulte;36,9283559589653
978-2-8180-3737-9;Comme Ulysse;;Charles;Lise;;;POL;DL 2015;1 vol. (398 p.);21 cm;Adulte;29,3963501143518
978-2-8236-0199-2;Ce coeur changeant;;Desarthe;Agnès;;;Editions de l'Olivier;DL 2015;1 vol. (336 p.);21 cm;Adulte;59,6466966715162
978-2-84219-534-2;Un chato en Espagne;;Bard;Patrick;;;Editions Baleine;impr. 2015;1 vol. (159 p.);18 cm;Adulte;58,9435264929422
978-2-84219-535-9;Il était tout froid dans l'Est;;Bourcy;Thierry;;;Editions Baleine;impr. 2015;1 vol. (167 p.);18 cm;Adulte;40,8237915685027
978-2-84626-994-0;Des poupées et des anges;;Hamdi;Nora;;;Au diable Vauvert;impr. 2015;1 vol. (196 p.);20 cm;Adulte;48,4171865148239
978-2-84682-267-1;Le choeur des femmes;roman;Winckler;Martin;;;POL;impr. 2009;1 vol. (602 p.);23 cm;Adulte;63,4594818848383
978-2-84720-608-1;portefeuille rouge (Le);roman;Delaflotte Mehdevi;Anne;;;Gaïa éditions;DL 2015;1 vol. (281 p.);22 cm;Adulte;30,0932252050892
978-2-84801-431-9;voyage (Le);;Fontanel;Béatrice;Zuber;Eléonore;Tourbillon;2009;;21 x 29 cm;Jeunesse;21,389906014696
978-2-84876-098-8;Maman, pourquoi tu manges pas ?;mon combat contre l'anorexie;Dupont;Marie;;;P. Rey;impr. 2007;1 vol. (236 p.);22 cm;Adulte;42,2560097361966
978-2-84876-468-9;Camille, mon envolée;roman;Daull;Sophie;;;Philippe Rey;DL 2015;1 vol. (185 p.);22 cm;Adulte;75,4981899683941
978-2-85181-747-1;Guitou;;Melquiot;Fabrice;;;l'Arche;impr. 2011;1 vol. (89 p.);21 cm;Jeunesse;65,4504670077337
978-2-88250-384-8;Quand le diable sortit de la salle de bain;roman improvisé, interruptif et pas sérieux;Divry;Sophie;;;Noir sur blanc;DL 2015;1 vol. (306 p.);20 cm;Adulte;6,08938336930196
978-2-909771-59-5;changelin (Le);l'enfant des trolls;Lindhom;Per August;Nyblom;Helena;Corentin;2013;1 vol. (39 p.);21 x 20 cm;Jeunesse;54,7020222732436
978-2-914528-90-0;Etre vétérinaire;;Fritsch;Philippe;;;Lieux dits éd.;DL 2011;1 vol. (93 p.);21 cm;Jeunesse;12,3736623693533
978-2-915732-39-9;Les recettes du Petit Nicolas;;Beaupré;Christine de;Valentin;Béatrice;IMAV éd.;impr. 2011;1 vol. (125 p.);21 cm;Jeunesse;32,6953758043208
978-2-915970-22-7;Enfin seule;;Causse;Manu;Armagnac;Juliette;Où sont les enfants ?;2009;24 p.;23 x 23 cm;Jeunesse;31,4044753479665
978-2-916170-71-8;petits points (Les);;Claudet;Philippe;;;les Doigts qui rêvent;2010;1 vol. (16 p.);22 x 21 cm;Jeunesse;23,5568115796128
978-2-916878-37-9;Le régime mastication;le programme minceur qui vous libère des calories et vous rassasie plus vite;Cocaul;Arnaud;;;T. Souccar;DL 2009;1 vol. (223 p.);21 cm;Adulte;13,8331822476498
978-2-919372-02-7;Catherine Kousmine;une détective dans nos assiettes;Aymeries;Jacqueline;;;Ed. A dos d'âne;impr. 2011;1 vol. (45 p.);15 cm;Jeunesse;50,7757202882515
978-2-919372-04-1;Georges Méliès, le magicien du cinéma;;Bianu;Zéno;;;Ed. A dos d'âne;impr. 2011;1 vol. (45 p.);15 cm;Jeunesse;11,0694817704286
978-2-930607-14-6;Tête-Dure;roman;Pittau;Francesco;;;Editions les Carnets du dessert de lune;DL 2015;1 vol. (94 p.);20 cm;Adulte;42,5319218548851
978-2-9524074-6-5;chroniques d'Ouranos (Les);roman;Bréger;Véronique;;;Adventice;2009;243 p.;20 cm;Adulte;58,3039943840951
978-90-317-3213-5;Cuisine avec Nelly & César;16 recettes pour les enfants;Godon;Ingrid;Soors;Nele;Averbode;2011;1 vol. (36 p.);28 x 24 cm;Jeunesse;48,1453847833517
